transaction_id,customer_id,date,product_id,quantity,price,promotion_id
1,1029,2023-06-25,102,1,2.8,
2,1175,2023-12-26,107,2,3.5,10.0
3,1007,2023-04-02,103,1,1.2,
4,1150,2023-02-10,102,5,2.8,30.0
5,1114,2023-01-10,108,1,3.0,
6,1083,2023-02-13,103,3,1.2,30.0
7,1145,2023-05-28,104,2,4.5,
8,1012,2023-06-10,101,4,2.5,
9,1007,2023-06-09,110,2,15.0,
10,1166,2023-10-04,109,5,0.5,10.0
11,1058,2023-08-20,105,1,4.0,30.0
12,1198,2023-05-30,109,5,0.5,
13,1019,2023-02-15,107,4,3.5,30.0
14,1146,2023-08-18,110,3,15.0,
15,1147,2023-03-12,101,4,2.5,
16,1167,2023-10-28,109,1,0.5,10.0
17,1188,2023-08-30,107,2,3.5,
18,1138,2023-07-05,110,4,15.0,10.0
19,1064,2023-04-29,103,5,1.2,30.0
20,1110,2023-06-03,102,3,2.8,
21,1059,2023-06-29,108,5,3.0,30.0
22,1183,2023-10-10,107,5,3.5,
23,1124,2023-01-01,106,4,4.5,
24,1081,2023-09-16,101,1,2.5,30.0
25,1083,2023-07-08,104,5,4.5,
26,1139,2023-02-28,107,1,3.5,
27,1148,2023-12-16,101,1,2.5,30.0
28,1160,2023-04-15,107,5,3.5,10.0
29,1110,2023-12-31,109,1,0.5,30.0
30,1013,2023-07-01,110,5,15.0,30.0
31,1038,2023-10-05,107,3,3.5,10.0
32,1137,2023-05-08,107,2,3.5,
33,1119,2023-03-26,108,3,3.0,
34,1122,2023-03-30,105,5,4.0,10.0
35,1064,2023-04-29,106,5,4.5,
36,1063,2023-12-21,101,1,2.5,10.0
37,1125,2023-04-16,105,5,4.0,
38,1066,2023-05-05,104,5,4.5,
39,1017,2023-04-13,107,3,3.5,10.0
40,1068,2023-10-08,102,1,2.8,
41,1095,2023-05-06,106,2,4.5,30.0
42,1047,2023-04-12,109,2,0.5,
43,1104,2023-11-21,106,1,4.5,30.0
44,1143,2023-11-01,102,4,2.8,10.0
45,1174,2023-07-28,104,4,4.5,20.0
46,1197,2023-06-12,110,4,15.0,
47,1172,2023-01-17,102,1,2.8,
